
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
9 3 100 0.379662 3 3.95405 2 2.23781 19.4222 21.8555 19.4222 2 4.429 3 32.871 2 16.6337 0.105 2 0.106 1 0.105333 0.894 1 0.895 2 0.894667
10 3 100 0.379671 3 3.93493 2 2.22897 19.4222 21.8555 19.4222 2 4.553 3 33.003 2 16.6763 0.104 3 0.107 1 0.105333 0.893 1 0.896 3 0.894667




Configuration FH_rang_c=0.979_n=1000
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 1.3327 3 2.61843 2 1.95782 17.1429 13.6402 2.77778 3 10.055 1 23.372 3 16.6797 0.19 2 0.192 1 0.191 0.808 1 0.81 2 0.809
2 3 100 1.33333 3 2.66505 2 1.97042 17.0952 13.6269 2.78552 3 10.102 1 22.864 3 16.626 0.188 1 0.193 2 0.190667 0.807 2 0.812 1 0.809333
3 4 100 0.0316386 4 2.64941 2 1.4756 17.1429 10.4797 2.775 3 0.036 4 23.26 3 12.5275 0.191 2 0.192 1 0.1915 0.808 1 0.809 2 0.8085
4 3 100 1.33285 3 2.5813 2 1.9461 17.1429 13.6402 2.77778 3 10.161 1 23.491 3 16.68 0.19 2 0.191 1 0.190667 0.809 1 0.81 2 0.809333
5 4 100 0.0316386 4 2.64823 2 1.48507 17.0952 10.4697 2.78273 3 0.035 4 23.065 3 12.4675 0.189 1 0.192 2 0.19075 0.808 2 0.811 1 0.80925
6 4 100 0.0316386 4 2.72272 2 1.51212 17.0952 10.4697 2.78273 3 0.031 4 21.855 3 12.5112 0.191 3 0.195 1 0.19225 0.805 1 0.809 3 0.80775
7 4 100 0.0316386 4 2.64363 2 1.48473 17.0952 10.4697 2.78273 3 0.035 4 23.041 3 12.4468 0.191 2 0.194 1 0.19175 0.806 1 0.809 2 0.80825
8 3 100 1.33281 3 2.58036 2 1.94054 17.1429 13.6402 2.77778 3 10.146 1 23.506 3 16.6463 0.191 2 0.192 1 0.191333 0.808 1 0.809 2 0.808667
9 3 100 1.33456 3 2.62731 2 1.96454 17.0952 13.6269 2.78552 3 10.229 1 23.219 3 16.6337 0.191 1 0.193 2 0.191667 0.807 2 0.809 1 0.808333
10 3 100 1.3327 3 2.58934 2 1.94158 17.1429 13.6402 2.77778 3 10.004 1 23.544 3 16.6763 0.189 1 0.191 3 0.19 0.809 3 0.811 1 0.81




Configuration FH_tour_t=2_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 9 100 0.337064 4 0.518384 8 0.434349 2 1.69386 1.61538 7 3.59 1 9.12 7 5.56444 0.65 4 0.72 9 0.681111 0.28 9 0.35 4 0.318889
2 9 100 0.175863 9 0.562679 7 0.408396 2 1.70788 1.82143 6 1.2 9 11.34 7 5.49222 0.63 7 0.73 9 0.671111 0.27 9 0.37 7 0.328889
3 9 100 0.175863 9 0.541838 7 0.443421 2 1.71333 1.71875 6 0.93 9 9.36 7 5.43333 0.65 3 0.77 9 0.682222 0.23 9 0.35 3 0.317778
